test	lua-5.1.5	lua-5.2.4	lua-5.3.6	lua-5.4.6	lua-5.5.0	luajit-2.1.174	
brainfuck	2.2300	2.4200	2.2800	1.5600	1.5600	0.2500	
mem-access	1.1700	1.1900	1.0700	0.9700	0.9100	0.1300	
oop-dots	2.2200	2.4300	1.9200	1.3600	1.4200	0.0900	
c-call	1.0800	1.1900	1.1800	1.0500	1.0300	0.0000	
ray	2.2600	2.5300	2.1300	1.6600	1.4800	0.0100	
coro	1.3500	1.9900	1.5100	1.2200	1.0900	0.5500	
json	2.8500	3.0700	2.7400	2.4200	2.3100	0.9100	
heapsort	2.2900	2.6200	2.0700	1.1300	1.1600	0.3500	
mandelbrot	2.2500	2.6400	1.9300	1.6600	1.5000	0.1100	
juliaset	2.1400	2.4800	1.9200	1.3100	1.3300	0.6300	
queen	3.2900	3.5500	3.0800	2.0700	2.0700	0.3100	
binary	2.2000	1.6000	1.7100	1.0200	1.0200	0.4800	
n-body	2.9600	3.1500	2.1800	1.7400	1.5600	0.1200	
fannkuch	4.0000	4.2400	3.1900	1.7100	1.7300	0.3200	
fasta	1.9200	2.0800	2.1000	1.4300	1.4600	0.5500	
k-nucleotide	3.1400	3.3400	3.1000	2.7200	2.7500	0.7000	
regex-dna	2.4900	2.4800	2.5400	2.5000	2.5300	2.4400	
spectral-norm	2.8000	2.9600	2.8800	1.8900	1.8800	0.0900	
