test	lua-5.5.0	lua-5.4.6	lua-5.3.6	lua-5.2.4	lua-5.1.5	luajit-2.1.174	
brainfuck	1.554	1.558	2.309	2.428	2.24	0.255	
mem-access	0.913	0.976	1.078	1.196	1.178	0.13	
oop-dots	1.425	1.44	1.944	2.43	2.224	0.096	
c-call	1.04	1.052	1.184	1.198	1.083	0.003	
ray	1.479	1.659	2.117	2.389	2.248	0.013	
coro	1.154	1.209	1.51	1.994	1.338	0.536	
json	2.304	2.459	2.733	3.071	2.823	0.931	
heapsort	1.174	1.135	2.072	2.623	2.278	0.355	
mandelbrot	1.494	1.674	1.953	2.667	2.268	0.115	
juliaset	1.336	1.314	1.926	2.405	2.142	0.536	
queen	2.08	2.083	3.069	3.545	3.3	0.31	
binary	0.391	0.393	0.736	0.661	0.806	0.309	
n-body	1.775	1.864	2.444	3.469	3.321	0.144	
fannkuch	0.144	0.142	0.265	0.354	0.334	0.03	
fasta	1.469	1.438	2.107	2.085	1.928	0.561	
k-nucleotide	3.059	2.997	3.454	3.668	3.461	0.756	
regex-dna	2.821	2.784	2.825	2.753	2.771	2.708	
spectral-norm	1.88	1.895	2.857	2.968	2.802	0.098	
